Study ID,Study Name,Study Contact,Line ID,Line Name,Control,Strain,Carbon Source,Carbon Labeling,Line Experimenter,Line Contact,Media,Protocol ID,Protocol Name,Assay ID,Assay Name,Measurement Type,Compartment,Measurement Updated,X Units,Y Units,0.0,27.0
47082,Ajinomoto Cycle 1,,47187,b3-24-3,F,JBEI-17832,2% Glucose,100% unlabeled,,,M9-MOPS,1929,GC-MS,47547,b3-24-3,Tetradecanoate (n-C14:0),EC,2017-08-31 23:04:11.652552+00:00,hours,g/L,,0.06666
47082,Ajinomoto Cycle 1,,47134,b2-32-1,F,JBEI-17826,2% Glucose,100% unlabeled,,,M9-MOPS,1929,GC-MS,47494,b2-32-1,Hexadecanoate (n-C16:0),EC,2017-08-31 23:04:06.123558+00:00,hours,g/L,,0.18256
47082,Ajinomoto Cycle 1,,47185,b3-24-1,F,JBEI-17832,2% Glucose,100% unlabeled,,,M9-MOPS,1929,GC-MS,47545,b3-24-1,Tetradecanoate (n-C14:0),EC,2017-08-31 23:04:11.462345+00:00,hours,g/L,,0.06731
47082,Ajinomoto Cycle 1,,47148,b2-36-3,F,JBEI-17812,2% Glucose,100% unlabeled,,,M9-MOPS,1929,GC-MS,47508,b2-36-3,Hexadecanoate (n-C16:0),EC,2017-08-31 23:04:07.800993+00:00,hours,g/L,,0.0271
47082,Ajinomoto Cycle 1,,47184,b3-23-3,F,JBEI-17824,2% Glucose,100% unlabeled,,,M9-MOPS,1929,GC-MS,47544,b3-23-3,Tetradecanoate (n-C14:0),EC,2017-08-31 23:04:11.367752+00:00,hours,g/L,,0.07215
47082,Ajinomoto Cycle 1,,47107,b2-11-1,F,JBEI-17785,2% Glucose,100% unlabeled,,,M9-MOPS,1929,GC-MS,47467,b2-11-1,Dodecanoate (n-C12:0),EC,2017-08-31 23:04:03.415080+00:00,hours,g/L,,0.68117
47082,Ajinomoto Cycle 1,,47181,b3-21-3,F,JBEI-17827,2% Glucose,100% unlabeled,,,M9-MOPS,1929,GC-MS,47541,b3-21-3,Tetradecanoate (n-C14:0),EC,2017-08-31 23:04:11.068817+00:00,hours,g/L,,0.06888
47082,Ajinomoto Cycle 1,,47104,b1-9017-2,F,JBEI-9017,2% Glucose,100% unlabeled,,,M9-MOPS,1929,GC-MS,47466,b1-9017-2,Tetradecanoate (n-C14:0),EC,2017-08-31 23:04:03.306974+00:00,hours,g/L,,0.37057
47082,Ajinomoto Cycle 1,,47176,b3-18-1,F,JBEI-17804,2% Glucose,100% unlabeled,,,M9-MOPS,1929,GC-MS,47536,b3-18-1,Tetradecanoate (n-C14:0),EC,2017-08-31 23:04:10.562667+00:00,hours,g/L,,0.2091
47082,Ajinomoto Cycle 1,,47094,b1-11-2,F,JBEI-17785,2% Glucose,100% unlabeled,,,M9-MOPS,1929,GC-MS,47454,b1-11-2,Octadecanoate (n-C18:0),EC,2017-08-31 23:04:02.257560+00:00,hours,g/L,,0.08511
47082,Ajinomoto Cycle 1,,47195,b3-08-2,F,JBEI-17791,2% Glucose,100% unlabeled,,,M9-MOPS,1929,GC-MS,47555,b3-08-2,Tetradecanoate (n-C14:0),EC,2017-08-31 23:04:12.468825+00:00,hours,g/L,,0.12125
47082,Ajinomoto Cycle 1,,47085,b1-02-1,F,JBEI-17789,2% Glucose,100% unlabeled,,,M9-MOPS,1929,GC-MS,47445,b1-02-1,Hexadecanoate (n-C16:0),EC,2017-08-31 23:04:01.138616+00:00,hours,g/L,,0.03229
47082,Ajinomoto Cycle 1,,47149,b2-9017-1,F,JBEI-9017,2% Glucose,100% unlabeled,,,M9-MOPS,1929,GC-MS,47512,b2-9017-1,Octadecanoate (n-C18:0),EC,2017-08-31 23:04:08.165744+00:00,hours,g/L,,0.34899
47082,Ajinomoto Cycle 1,,47087,b1-04-1,F,JBEI-17790,2% Glucose,100% unlabeled,,,M9-MOPS,1929,GC-MS,47447,b1-04-1,Octadecanoate (n-C18:0),EC,2017-08-31 23:04:01.428539+00:00,hours,g/L,,0.06906
47082,Ajinomoto Cycle 1,,47148,b2-36-3,F,JBEI-17812,2% Glucose,100% unlabeled,,,M9-MOPS,1929,GC-MS,47508,b2-36-3,Tetradecanoate (n-C14:0),EC,2017-08-31 23:04:07.771206+00:00,hours,g/L,,0.00525
47082,Ajinomoto Cycle 1,,47095,b1-12-1,F,JBEI-17786,2% Glucose,100% unlabeled,,,M9-MOPS,1929,GC-MS,47455,b1-12-1,Octadecanoate (n-C18:0),EC,2017-08-31 23:04:02.349530+00:00,hours,g/L,,0.05344
47082,Ajinomoto Cycle 1,,47148,b2-36-3,F,JBEI-17812,2% Glucose,100% unlabeled,,,M9-MOPS,1929,GC-MS,47508,b2-36-3,Octadecanoate (n-C18:0),EC,2017-08-31 23:04:07.835598+00:00,hours,g/L,,0.06142
47082,Ajinomoto Cycle 1,,47099,b1-16-1,F,JBEI-17806,2% Glucose,100% unlabeled,,,M9-MOPS,1929,GC-MS,47459,b1-16-1,Octadecanoate (n-C18:0),EC,2017-08-31 23:04:02.794167+00:00,hours,g/L,,0.21613
47082,Ajinomoto Cycle 1,,47176,b3-18-1,F,JBEI-17804,2% Glucose,100% unlabeled,,,M9-MOPS,1929,GC-MS,47536,b3-18-1,Octadecanoate (n-C18:0),EC,2017-08-31 23:04:10.612479+00:00,hours,g/L,,0.51648
47082,Ajinomoto Cycle 1,,47100,b1-16-2,F,JBEI-17806,2% Glucose,100% unlabeled,,,M9-MOPS,1929,GC-MS,47460,b1-16-2,Hexadecanoate (n-C16:0),EC,2017-08-31 23:04:02.865089+00:00,hours,g/L,,0.05339
47082,Ajinomoto Cycle 1,,47195,b3-08-2,F,JBEI-17791,2% Glucose,100% unlabeled,,,M9-MOPS,1929,GC-MS,47555,b3-08-2,Octadecanoate (n-C18:0),EC,2017-08-31 23:04:12.529918+00:00,hours,g/L,,0.15394
47082,Ajinomoto Cycle 1,,47089,b1-08-1,F,JBEI-17791,2% Glucose,100% unlabeled,,,M9-MOPS,1929,GC-MS,47449,b1-08-1,Hexadecanoate (n-C16:0),EC,2017-08-31 23:04:01.598286+00:00,hours,g/L,,0.02035
47082,Ajinomoto Cycle 1,,47147,b2-36-2,F,JBEI-17812,2% Glucose,100% unlabeled,,,M9-MOPS,1929,GC-MS,47507,b2-36-2,Tetradecanoate (n-C14:0),EC,2017-08-31 23:04:07.635310+00:00,hours,g/L,,0.00465
47082,Ajinomoto Cycle 1,,47094,b1-11-2,F,JBEI-17785,2% Glucose,100% unlabeled,,,M9-MOPS,1929,GC-MS,47454,b1-11-2,Tetradecanoate (n-C14:0),EC,2017-08-31 23:04:02.209229+00:00,hours,g/L,,0.06059
47082,Ajinomoto Cycle 1,,47147,b2-36-2,F,JBEI-17812,2% Glucose,100% unlabeled,,,M9-MOPS,1929,GC-MS,47507,b2-36-2,Octadecanoate (n-C18:0),EC,2017-08-31 23:04:07.706230+00:00,hours,g/L,,0.06118
47082,Ajinomoto Cycle 1,,47086,b1-02-2,F,JBEI-17789,2% Glucose,100% unlabeled,,,M9-MOPS,1929,GC-MS,47446,b1-02-2,Tetradecanoate (n-C14:0),EC,2017-08-31 23:04:01.220224+00:00,hours,g/L,,0.04364
47082,Ajinomoto Cycle 1,,47175,b3-16-3,F,JBEI-17806,2% Glucose,100% unlabeled,,,M9-MOPS,1929,GC-MS,47535,b3-16-3,Tetradecanoate (n-C14:0),EC,2017-08-31 23:04:10.463937+00:00,hours,g/L,,0.08988
47082,Ajinomoto Cycle 1,,47087,b1-04-1,F,JBEI-17790,2% Glucose,100% unlabeled,,,M9-MOPS,1929,GC-MS,47447,b1-04-1,Tetradecanoate (n-C14:0),EC,2017-08-31 23:04:01.380416+00:00,hours,g/L,,0.03705
