Tak,UcFatB1,FadD,Maqu_2507,Maqu_2220,acr1,yjgB
1,M,L,M,,,
2,M,M,M,,,
3,M,H,M,,,
4,M,L,H,,,
5,M,M,H,,,
6,M,H,H,,,
7,H,L,M,,,
8,H,M,M,,,
9,H,H,M,,,
10,H,L,H,,,
11,H,M,H,,,
12,H,H,H,,,
13,M,L,,M,,
14,M,H,,M,,
15,H,L,,M,,
16,H,M,,M,,
17,H,H,,M,,
18,H,L,,H,,
19,H,M,,H,,
20,H,H,,H,,
21,M,L,,,M,H
22,M,M,,,M,H
23,M,M,,,H,H
24,M,H,,,H,H
25,H,L,,,M,H
26,H,M,,,M,H
27,H,H,,,M,H
28,H,L,,,H,H
29,H,M,,,H,H
30,H,H,,,H,H
31,M,M,,M,,
32,M,L,,H,,
33,M,M,,H,,
34,M,H,,H,,
35,M,H,,,M,H
36,M,L,,,H,H
