Plate,Well,Sample,EDD Line Name,Sample Names,SD,CV,Dilution,AdjConc (ug/mL),ug/uL,uL vol in 100ug,vol of 100mM Ambic,vol of TCEP,vol of IAA,vol of Trypsin,Decanoic acid,Lauric acid,Myristic acid,Palmitic acid,Stearic acid,Palmitoleic acid,Oleic acid
1,A01,Un01,b1-01-1,Tak1 A1,61.271,6.4,10,9597.47,9.59747,10.419413,32.58058738,2.5,2.5,2,0,0,0,0,0,0,0
1,A02,Un02,b1-01-2,Tak1 B1,16.027,1.4,10,11702.515,11.702515,8.5451717,34.4548283,2.5,2.5,2,0,0,0,0,0,0,0
1,A03,Un03,b1-02-1,Tak2 C1,35.333,3.6,10,9791.668,9.791668,10.212765,32.78723543,2.5,2.5,2,10.78,58.77,0,0,0,0,0
1,A04,Un04,b1-02-2,Tak2 D1,31.613,3.5,10,9004.602,9.004602,11.105433,31.89456747,2.5,2.5,2,16.09,231.72,0,0,0,0,0
1,A05,Un05,b1-04-1,Tak4 A2,12.262,1.3,10,9392.055,9.392055,10.647297,32.3527029,2.5,2.5,2,0,47.53,0,0,0,0,0
1,A06,Un06,b1-04-2,Tak4 B2,25.995,3,10,8804.863,8.804863,11.35736,31.64263987,2.5,2.5,2,0,23.96,0,0,0,0,0
1,A07,Un07,b1-08-1,Tak8 C3,27.495,2.6,10,10517.653,10.517653,9.5078246,33.49217539,2.5,2.5,2,0,0,0,0,0,0,0
1,A08,Un08,b1-08-2,Tak8 D3,63.711,6.1,10,10470.269,10.470269,9.550853,33.44914701,2.5,2.5,2,0,49.24,0,0,0,0,0
1,A09,Un09,b1-09-1,Tak9 E3,20.505,2.1,10,9878.371,9.878371,10.123127,32.87687342,2.5,2.5,2,15.16,53.28,0,0,0,0,0
1,A10,Un10,b1-09-2,Tak9 F3,63.439,6.8,10,9379.319,9.379319,10.661755,32.33824513,2.5,2.5,2,0,0,0,0,103.68,0,0
1,A11,Un11,b1-11-1,Tak11 C4,215.693,18.8,10,11450.164,11.450164,8.7334994,34.26650064,2.5,2.5,2,0,0,0,0,0,0,0
1,A12,Un12,b1-11-2,Tak11 D4,82.686,7.1,10,11633.165,11.633165,8.5961129,34.40388708,2.5,2.5,2,0,0,0,0,0,0,0
1,B01,Un13,b1-12-1,Tak12 E4,60.429,7.5,10,8102.182,8.102182,12.342354,30.6576458,2.5,2.5,2,0,0,0,0,0,0,0
1,B02,Un14,b1-12-2,Tak12 F4,139.864,14.7,10,9486.898,9.486898,10.540853,32.45914671,2.5,2.5,2,20.19,47.16,8.54,0,0,0,0
1,B03,Un15,b-1-15-1,Tak15 C3,30.28,5.3,10,5686.94,5.68694,17.584149,25.41585106,2.5,2.5,2,16.99,67.18,0,0,0,0,0
1,B04,Un16,b-1-15-2,Tak15 D5,61.895,5.2,10,11997.992,11.997992,8.334728,34.66527199,2.5,2.5,2,145.91,298.44,15.28,0,0,0,0
1,B05,Un17,b1-16-1,Tak16 E5,96.83,10.7,10,9064.096,9.064096,11.03254,31.96746019,2.5,2.5,2,108.21,259.35,14.56,120.92,99.25,0,0
1,B06,Un18,b1-16-2,Tak16 F5,75.033,9,10,8373.64,8.37364,11.942238,31.05776222,2.5,2.5,2,0,0,0,6.19,0,0,0
1,B07,Un19,b1-22-1,Tak22 A7,10.732,1.1,10,9477.707,9.477707,10.551075,32.44892472,2.5,2.5,2,291.49,549.08,21.79,54.67,27.66,0,0
1,B08,Un20,b1-22-2,Tak22 B7,46.838,5.1,10,9129.356,9.129356,10.953675,32.04632484,2.5,2.5,2,0,0,0,0,0,0,0
1,B09,Un21,b1-9017-1,9017 C8,76.353,11.3,10,6774.509,6.774509,14.761217,28.23878262,2.5,2.5,2,0,16.12,0,0,0,0,0
1,B10,Un22,b1-9017-2,9017 D8,6.008,0.9,10,6908.655,6.908655,14.474597,28.52540256,2.5,2.5,2,0,0,0,82.08,39.04,0,0
1,B11,Un23,b1-rfp-1,EV E8,13.419,1.3,10,10157.354,10.157354,9.8450837,33.15491633,2.5,2.5,2,16.77,73.56,58.1,391.15,252.15,46.8,30.01
1,B12,Un24,b1-rfp-2,EV F8,41.555,3.7,10,11341.907,11.341907,8.8168595,34.18314054,2.5,2.5,2,21.92,70.06,14.67,181.68,115.34,0,0
1,C01,Un25,b2-11-1,11.1 col#2,80.18,5.6,10,14277.011,14.277011,7.0042672,35.99573279,2.5,2.5,2,12.91,32.34,0,0,0,0,0
1,C02,Un26,b2-11-2,11.2 col#2,72.238,4.4,10,16303.842,16.303842,6.1335236,36.86647638,2.5,2.5,2,14.31,92.58,0,51.46,0,0,0
1,C03,Un27,b2-11-3,11.3 col#2,10.824,0.6,10,17090.138,17.090138,5.8513278,37.14867218,2.5,2.5,2,0,37.39,0,0,0,0,0
1,C04,Un28,b2-19-1,19.1 col2,367.445,15.4,10,23910.428,23.910428,4.1822756,38.81772438,2.5,2.5,2,0,0,0,0,0,0,0
1,C05,Un29,b2-19-2,19.2 col2,141.679,6.4,10,22242.073,22.242073,4.4959838,38.50401619,2.5,2.5,2,0,0,0,0,0,0,0
1,C06,Un30,b2-19-3,19.3 col2,14.337,0.8,10,17864.839,17.864839,5.5975875,37.40241247,2.5,2.5,2,741.03,1017.03,25.93,122.18,62.42,0,0
1,C07,Un31,b2-25-1,25.1,143.723,7.8,10,18524.067,18.524067,5.3983825,37.60161745,2.5,2.5,2,0,0,0,0,0,0,0
1,C08,Un32,b2-25-2,25.2,173.402,10.3,10,16767.176,16.767176,5.9640335,37.03596646,2.5,2.5,2,341.39,1165.61,18.75,62.02,36.95,0,0
1,C09,Un33,b2-25-3,25.3,47.028,3,10,15635.762,15.635762,6.3955949,36.60440508,2.5,2.5,2,0,0,0,0,0,0,0
1,C10,Un34,b2-26-1,26.1,41.519,2.5,10,16660.242,16.660242,6.0023138,36.99768623,2.5,2.5,2,0,0,0,0,0,0,0
1,C11,Un35,b2-26-2,26.2,175.513,10.5,10,16704.841,16.704841,5.9862886,37.01371135,2.5,2.5,2,261.01,2280.16,42.22,111.07,68.15,6.22,10.29
1,C12,Un36,b2-26-3,26.3,15.104,1,10,14395.784,14.395784,6.9464782,36.05352178,2.5,2.5,2,200.08,586.2,0,0,32.04,0,0
1,D01,Un37,b2-27-1,27.1,376.791,18,10,20922.548,20.922548,4.7795326,38.22046741,2.5,2.5,2,47.02,254.43,0,56.88,49.98,0,0
1,D02,Un38,b2-27-2,27.2,26.546,3.2,10,8213.375,8.213375,12.175263,30.82473709,2.5,2.5,2,107.42,471,16.98,85.74,54.32,0,0
1,D03,Un39,b2-27-3,27.3,9.194,1,10,9456.012,9.456012,10.575283,32.42471731,2.5,2.5,2,91.44,556.2,8.89,35.39,18.53,0,0
1,D04,Un40,b2-28-1,28.1,246.465,11.9,10,20651.994,20.651994,4.8421474,38.15785255,2.5,2.5,2,203.15,762.24,19.49,104.45,75.06,0,0
1,D05,Un41,b2-28-2,28.2,402.082,16,10,25128.036,25.128036,3.9796186,39.02038138,2.5,2.5,2,0,0,0,0,0,0,0
1,D06,Un42,b2-28-3,28.3,53.652,3,10,17987.934,17.987934,5.5592821,37.44071787,2.5,2.5,2,101.59,457.09,13.75,91.9,62.36,0,0
